file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1597682622761_0033,query40_cluster_500G,40,500,alpha,8,27,288464,30,200,16716.0,4245.0,83.58
spark-history/application_1597682622761_0033,query40_cluster_500G,40,500,alpha,8,27,288464,27,43,87027.0,24879.0,2023.8837209302326
spark-history/application_1597682622761_0033,query40_cluster_500G,40,500,alpha,8,27,288464,28,572,795315.0,16380.0,1390.4108391608393
spark-history/application_1597682622761_0033,query40_cluster_500G,40,500,alpha,8,27,288464,29,200,1389510.0,96073.0,6947.55
spark-history/application_1597682622761_0018,query20_cluster_500G,20,500,beta,3,26,78038,27,200,9555.0,2025.0,47.775
spark-history/application_1597682622761_0018,query20_cluster_500G,20,500,beta,3,26,78038,28,200,9410.0,2557.0,47.05
spark-history/application_1597682622761_0018,query20_cluster_500G,20,500,beta,3,26,78038,26,572,215211.0,5773.0,376.243006993007
spark-history/application_1597682622761_0025,query20_cluster_500G,20,500,beta,8,26,42498,27,200,29746.0,5008.0,148.73
spark-history/application_1597682622761_0025,query20_cluster_500G,20,500,beta,8,26,42498,28,200,17361.0,7279.0,86.805
spark-history/application_1597682622761_0025,query20_cluster_500G,20,500,beta,8,26,42498,26,572,287514.0,22703.0,502.6468531468532
spark-history/application_1597682622761_0017,query40_cluster_500G,40,500,alpha,8,27,284884,30,200,16043.0,3189.0,80.215
spark-history/application_1597682622761_0017,query40_cluster_500G,40,500,alpha,8,27,284884,27,572,756856.0,22487.0,1323.1748251748252
spark-history/application_1597682622761_0017,query40_cluster_500G,40,500,alpha,8,27,284884,28,43,83305.0,19807.0,1937.3255813953488
spark-history/application_1597682622761_0017,query40_cluster_500G,40,500,alpha,8,27,284884,29,200,1400646.0,96670.0,7003.23
spark-history/application_1597682622761_0014,query52_cluster_500G,52,500,gamma,8,26,100805,27,200,23990.0,8215.0,119.95
spark-history/application_1597682622761_0014,query52_cluster_500G,52,500,gamma,8,26,100805,26,505,495183.0,37321.0,980.5603960396039
spark-history/application_1597682622761_0015,query20_cluster_500G,20,500,beta,8,26,35072,27,200,10503.0,1325.0,52.515
spark-history/application_1597682622761_0015,query20_cluster_500G,20,500,beta,8,26,35072,28,200,18344.0,10404.0,91.72
spark-history/application_1597682622761_0015,query20_cluster_500G,20,500,beta,8,26,35072,26,572,218757.0,21381.0,382.4423076923077
spark-history/application_1597682622761_0023,query40_cluster_500G,40,500,alpha,8,27,297547,30,200,17982.0,3729.0,89.91
spark-history/application_1597682622761_0023,query40_cluster_500G,40,500,alpha,8,27,297547,27,572,808738.0,23059.0,1413.8776223776224
spark-history/application_1597682622761_0023,query40_cluster_500G,40,500,alpha,8,27,297547,28,43,87482.0,26755.0,2034.4651162790697
spark-history/application_1597682622761_0023,query40_cluster_500G,40,500,alpha,8,27,297547,29,200,1440470.0,122703.0,7202.35
spark-history/application_1597682622761_0004,query20_cluster_500G,20,500,beta,2,26,111743,27,200,8142.0,1126.0,40.71
spark-history/application_1597682622761_0004,query20_cluster_500G,20,500,beta,2,26,111743,28,200,8303.0,1411.0,41.515
spark-history/application_1597682622761_0004,query20_cluster_500G,20,500,beta,2,26,111743,26,572,207802.0,4957.0,363.2902097902098
spark-history/application_1597682622761_0009,query20_cluster_500G,20,500,beta,8,26,35532,27,200,14847.0,2160.0,74.235
spark-history/application_1597682622761_0009,query20_cluster_500G,20,500,beta,8,26,35532,28,200,18619.0,8249.0,93.095
spark-history/application_1597682622761_0009,query20_cluster_500G,20,500,beta,8,26,35532,26,572,234188.0,22434.0,409.4195804195804
spark-history/application_1597682622761_0050,query52_cluster_500G,52,500,gamma,8,26,48573,27,200,34820.0,10025.0,174.1
spark-history/application_1597682622761_0050,query52_cluster_500G,52,500,gamma,8,26,48573,26,505,351240.0,25570.0,695.5247524752475
spark-history/application_1597682622761_0041,query52_cluster_500G,52,500,gamma,8,26,67003,27,200,36279.0,11559.0,181.395
spark-history/application_1597682622761_0041,query52_cluster_500G,52,500,gamma,8,26,67003,26,505,495147.0,25264.0,980.4891089108911
spark-history/application_1597682622761_0043,query52_cluster_500G,52,500,gamma,8,26,65910,27,200,37033.0,12142.0,185.165
spark-history/application_1597682622761_0043,query52_cluster_500G,52,500,gamma,8,26,65910,26,505,488148.0,26690.0,966.629702970297
spark-history/application_1597682622761_0026,query40_cluster_500G,40,500,alpha,8,27,434680,30,200,23034.0,9009.0,115.17
spark-history/application_1597682622761_0026,query40_cluster_500G,40,500,alpha,8,27,434680,27,43,82725.0,18304.0,1923.8372093023256
spark-history/application_1597682622761_0026,query40_cluster_500G,40,500,alpha,8,27,434680,28,572,839068.0,48437.0,1466.902097902098
spark-history/application_1597682622761_0026,query40_cluster_500G,40,500,alpha,8,27,434680,29,200,1408565.0,129856.0,7042.825
spark-history/application_1597682622761_0032,query52_cluster_500G,52,500,gamma,8,26,61387,27,200,33315.0,9695.0,166.575
spark-history/application_1597682622761_0032,query52_cluster_500G,52,500,gamma,8,26,61387,26,505,455166.0,26549.0,901.3188118811881
spark-history/application_1597682622761_0028,query20_cluster_500G,20,500,beta,8,26,39104,27,200,31670.0,4916.0,158.35
spark-history/application_1597682622761_0028,query20_cluster_500G,20,500,beta,8,26,39104,28,200,16108.0,6097.0,80.54
spark-history/application_1597682622761_0028,query20_cluster_500G,20,500,beta,8,26,39104,26,572,262469.0,22033.0,458.8618881118881
spark-history/application_1597682622761_0010,query40_cluster_500G,40,500,alpha,8,27,215462,30,200,16237.0,4555.0,81.185
spark-history/application_1597682622761_0010,query40_cluster_500G,40,500,alpha,8,27,215462,27,572,701646.0,22654.0,1226.6538461538462
spark-history/application_1597682622761_0010,query40_cluster_500G,40,500,alpha,8,27,215462,28,43,72775.0,19802.0,1692.4418604651162
spark-history/application_1597682622761_0010,query40_cluster_500G,40,500,alpha,8,27,215462,29,200,917853.0,86484.0,4589.265
spark-history/application_1597682622761_0002,query52_cluster_500G,52,500,gamma,8,26,57842,27,200,36926.0,10887.0,184.63
spark-history/application_1597682622761_0002,query52_cluster_500G,52,500,gamma,8,26,57842,26,505,422546.0,26693.0,836.7247524752476
spark-history/application_1597682622761_0047,query52_cluster_500G,52,500,gamma,8,26,62103,27,200,41705.0,15919.0,208.525
spark-history/application_1597682622761_0047,query52_cluster_500G,52,500,gamma,8,26,62103,26,505,450746.0,29052.0,892.5663366336634
spark-history/application_1597682622761_0030,query40_cluster_500G,40,500,alpha,8,27,292987,30,200,23252.0,5570.0,116.26
spark-history/application_1597682622761_0030,query40_cluster_500G,40,500,alpha,8,27,292987,27,572,804896.0,22843.0,1407.1608391608393
spark-history/application_1597682622761_0030,query40_cluster_500G,40,500,alpha,8,27,292987,28,43,76613.0,17182.0,1781.6976744186047
spark-history/application_1597682622761_0030,query40_cluster_500G,40,500,alpha,8,27,292987,29,200,1426573.0,99223.0,7132.865
spark-history/application_1597682622761_0006,query20_cluster_500G,20,500,beta,4,26,84169,27,200,10411.0,2266.0,52.055
spark-history/application_1597682622761_0006,query20_cluster_500G,20,500,beta,4,26,84169,28,200,12386.0,5339.0,61.93
spark-history/application_1597682622761_0006,query20_cluster_500G,20,500,beta,4,26,84169,26,572,271141.0,21259.0,474.02272727272725
spark-history/application_1597682622761_0034,query52_cluster_500G,52,500,gamma,8,26,57796,27,200,36684.0,10306.0,183.42
spark-history/application_1597682622761_0034,query52_cluster_500G,52,500,gamma,8,26,57796,26,505,421915.0,25332.0,835.4752475247525
spark-history/application_1597682622761_0003,query52_cluster_500G,52,500,gamma,3,26,243758,27,200,16838.0,3134.0,84.19
spark-history/application_1597682622761_0003,query52_cluster_500G,52,500,gamma,3,26,243758,26,505,292341.0,18080.0,578.8930693069307
spark-history/application_1597682622761_0022,query52_cluster_500G,52,500,gamma,5,26,132260,27,200,34527.0,12953.0,172.635
spark-history/application_1597682622761_0022,query52_cluster_500G,52,500,gamma,5,26,132260,26,505,626599.0,16053.0,1240.790099009901
spark-history/application_1597682622761_0013,query40_cluster_500G,40,500,alpha,8,27,341036,30,200,16521.0,3474.0,82.605
spark-history/application_1597682622761_0013,query40_cluster_500G,40,500,alpha,8,27,341036,27,572,745125.0,43961.0,1302.6660839160838
spark-history/application_1597682622761_0013,query40_cluster_500G,40,500,alpha,8,27,341036,28,43,81606.0,25822.0,1897.8139534883721
spark-history/application_1597682622761_0013,query40_cluster_500G,40,500,alpha,8,27,341036,29,200,1066317.0,95148.0,5331.585
spark-history/application_1597682622761_0037,query52_cluster_500G,52,500,gamma,8,26,58321,27,200,35440.0,9455.0,177.2
spark-history/application_1597682622761_0037,query52_cluster_500G,52,500,gamma,8,26,58321,26,505,427901.0,27158.0,847.3287128712872
spark-history/application_1597682622761_0021,query20_cluster_500G,20,500,beta,7,26,43330,27,200,9490.0,842.0,47.45
spark-history/application_1597682622761_0021,query20_cluster_500G,20,500,beta,7,26,43330,28,200,15355.0,7534.0,76.775
spark-history/application_1597682622761_0021,query20_cluster_500G,20,500,beta,7,26,43330,26,572,252966.0,18763.0,442.24825174825173
spark-history/application_1597682622761_0001,query52_cluster_500G,52,500,gamma,4,26,196077,27,200,22326.0,4727.0,111.63
spark-history/application_1597682622761_0001,query52_cluster_500G,52,500,gamma,4,26,196077,26,505,508545.0,23526.0,1007.019801980198
spark-history/application_1597682622761_0039,query52_cluster_500G,52,500,gamma,8,26,55276,27,200,35468.0,9531.0,177.34
spark-history/application_1597682622761_0039,query52_cluster_500G,52,500,gamma,8,26,55276,26,505,402663.0,25506.0,797.3524752475248
spark-history/application_1597682622761_0040,query52_cluster_500G,52,500,gamma,8,26,65403,27,200,35709.0,9945.0,178.545
spark-history/application_1597682622761_0040,query52_cluster_500G,52,500,gamma,8,26,65403,26,505,483975.0,39225.0,958.3663366336634
spark-history/application_1597682622761_0029,query52_cluster_500G,52,500,gamma,8,26,73479,27,200,36220.0,10779.0,181.1
spark-history/application_1597682622761_0029,query52_cluster_500G,52,500,gamma,8,26,73479,26,505,553839.0,60675.0,1096.7108910891088
spark-history/application_1597682622761_0048,query52_cluster_500G,52,500,gamma,8,26,59805,27,200,39151.0,11349.0,195.755
spark-history/application_1597682622761_0048,query52_cluster_500G,52,500,gamma,8,26,59805,26,505,433891.0,26821.0,859.190099009901
spark-history/application_1597682622761_0020,query40_cluster_500G,40,500,alpha,8,27,277715,30,200,17114.0,3834.0,85.57
spark-history/application_1597682622761_0020,query40_cluster_500G,40,500,alpha,8,27,277715,27,43,85954.0,25565.0,1998.9302325581396
spark-history/application_1597682622761_0020,query40_cluster_500G,40,500,alpha,8,27,277715,28,572,729605.0,15096.0,1275.5332167832169
spark-history/application_1597682622761_0020,query40_cluster_500G,40,500,alpha,8,27,277715,29,200,1371487.0,114541.0,6857.435
spark-history/application_1597682622761_0035,query40_cluster_500G,40,500,alpha,8,27,303851,30,200,90421.0,20736.0,452.105
spark-history/application_1597682622761_0035,query40_cluster_500G,40,500,alpha,8,27,303851,27,572,780211.0,22162.0,1364.0052447552448
spark-history/application_1597682622761_0035,query40_cluster_500G,40,500,alpha,8,27,303851,28,43,75403.0,19539.0,1753.5581395348838
spark-history/application_1597682622761_0035,query40_cluster_500G,40,500,alpha,8,27,303851,29,200,1523943.0,121847.0,7619.715
spark-history/application_1597682622761_0044,query52_cluster_500G,52,500,gamma,8,26,77654,27,200,73839.0,31972.0,369.195
spark-history/application_1597682622761_0044,query52_cluster_500G,52,500,gamma,8,26,77654,26,505,543498.0,25860.0,1076.2336633663367
spark-history/application_1597682622761_0024,query52_cluster_500G,52,500,gamma,8,26,75690,27,200,39928.0,12700.0,199.64
spark-history/application_1597682622761_0024,query52_cluster_500G,52,500,gamma,8,26,75690,26,505,560753.0,27168.0,1110.4019801980198
spark-history/application_1597682622761_0019,query52_cluster_500G,52,500,gamma,8,26,71288,27,200,69227.0,34603.0,346.135
spark-history/application_1597682622761_0019,query52_cluster_500G,52,500,gamma,8,26,71288,26,505,496261.0,27014.0,982.6950495049505
spark-history/application_1597682622761_0007,query52_cluster_500G,52,500,gamma,8,26,61724,27,200,34095.0,10742.0,170.475
spark-history/application_1597682622761_0007,query52_cluster_500G,52,500,gamma,8,26,61724,26,505,455724.0,26036.0,902.4237623762376
spark-history/application_1597682622761_0038,query52_cluster_500G,52,500,gamma,8,26,59108,27,200,34417.0,9611.0,172.085
spark-history/application_1597682622761_0038,query52_cluster_500G,52,500,gamma,8,26,59108,26,505,435500.0,28151.0,862.3762376237623
spark-history/application_1597682622761_0045,query52_cluster_500G,52,500,gamma,8,26,67018,27,200,44661.0,15905.0,223.305
spark-history/application_1597682622761_0045,query52_cluster_500G,52,500,gamma,8,26,67018,26,505,486298.0,27810.0,962.9663366336633
spark-history/application_1597682622761_0042,query52_cluster_500G,52,500,gamma,8,26,63499,27,200,40606.0,9637.0,203.03
spark-history/application_1597682622761_0042,query52_cluster_500G,52,500,gamma,8,26,63499,26,505,465779.0,26491.0,922.3346534653465
spark-history/application_1597682622761_0016,query52_cluster_500G,52,500,gamma,8,26,59416,27,200,36724.0,12486.0,183.62
spark-history/application_1597682622761_0016,query52_cluster_500G,52,500,gamma,8,26,59416,26,505,435755.0,26058.0,862.8811881188119
spark-history/application_1597682622761_0011,query52_cluster_500G,52,500,gamma,8,26,67335,27,200,36884.0,10398.0,184.42
spark-history/application_1597682622761_0011,query52_cluster_500G,52,500,gamma,8,26,67335,26,505,500163.0,25288.0,990.4217821782178
spark-history/application_1597682622761_0005,query40_cluster_500G,40,500,alpha,8,27,478915,30,200,13420.0,1756.0,67.1
spark-history/application_1597682622761_0005,query40_cluster_500G,40,500,alpha,8,27,478915,27,572,697206.0,18892.0,1218.8916083916083
spark-history/application_1597682622761_0005,query40_cluster_500G,40,500,alpha,8,27,478915,28,43,80029.0,8605.0,1861.139534883721
spark-history/application_1597682622761_0005,query40_cluster_500G,40,500,alpha,8,27,478915,29,200,803349.0,132425.0,4016.745
spark-history/application_1597682622761_0008,query52_cluster_500G,52,500,gamma,5,26,97075,27,200,20316.0,6274.0,101.58
spark-history/application_1597682622761_0008,query52_cluster_500G,52,500,gamma,5,26,97075,26,505,457655.0,13243.0,906.2475247524752
spark-history/application_1597682622761_0027,query52_cluster_500G,52,500,gamma,8,26,73833,27,200,33501.0,10243.0,167.505
spark-history/application_1597682622761_0027,query52_cluster_500G,52,500,gamma,8,26,73833,26,505,552782.0,26019.0,1094.6178217821782
spark-history/application_1597682622761_0012,query20_cluster_500G,20,500,beta,8,26,38699,27,200,8937.0,1011.0,44.685
spark-history/application_1597682622761_0012,query20_cluster_500G,20,500,beta,8,26,38699,28,200,19483.0,9669.0,97.415
spark-history/application_1597682622761_0012,query20_cluster_500G,20,500,beta,8,26,38699,26,572,251087.0,21994.0,438.9632867132867
spark-history/application_1597682622761_0046,query52_cluster_500G,52,500,gamma,8,26,74685,27,200,57389.0,25226.0,286.945
spark-history/application_1597682622761_0046,query52_cluster_500G,52,500,gamma,8,26,74685,26,505,535231.0,26726.0,1059.8633663366336
spark-history/application_1597682622761_0049,query52_cluster_500G,52,500,gamma,8,26,58939,27,200,36358.0,10938.0,181.79
spark-history/application_1597682622761_0049,query52_cluster_500G,52,500,gamma,8,26,58939,26,505,431470.0,28546.0,854.3960396039604
spark-history/application_1597682622761_0036,query52_cluster_500G,52,500,gamma,8,26,59329,27,200,35405.0,10361.0,177.025
spark-history/application_1597682622761_0036,query52_cluster_500G,52,500,gamma,8,26,59329,26,505,437630.0,26189.0,866.5940594059406
spark-history/application_1597682622761_0031,query20_cluster_500G,20,500,beta,8,26,39118,27,200,9103.0,1436.0,45.515
spark-history/application_1597682622761_0031,query20_cluster_500G,20,500,beta,8,26,39118,28,200,19978.0,10568.0,99.89
spark-history/application_1597682622761_0031,query20_cluster_500G,20,500,beta,8,26,39118,26,572,254657.0,24267.0,445.20454545454544
