file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1597310437327_0027,query84_cluster_500G,84,500,alpha,8,28,25846,30,200,93927.0,10252.0,469.635
spark-history/application_1597310437327_0027,query84_cluster_500G,84,500,alpha,8,28,25846,28,9,12560.0,12383.0,1395.5555555555557
spark-history/application_1597310437327_0027,query84_cluster_500G,84,500,alpha,8,28,25846,29,65,65402.0,10654.0,1006.1846153846154
spark-history/application_1597310437327_0017,query20_cluster_500G,20,500,beta,8,26,27748,27,200,8857.0,794.0,44.285
spark-history/application_1597310437327_0017,query20_cluster_500G,20,500,beta,8,26,27748,28,200,18585.0,10245.0,92.925
spark-history/application_1597310437327_0017,query20_cluster_500G,20,500,beta,8,26,27748,26,572,166274.0,21043.0,290.6888111888112
spark-history/application_1597310437327_0013,query20_cluster_500G,20,500,beta,8,26,27333,27,200,32675.0,5127.0,163.375
spark-history/application_1597310437327_0013,query20_cluster_500G,20,500,beta,8,26,27333,28,200,16483.0,6651.0,82.415
spark-history/application_1597310437327_0013,query20_cluster_500G,20,500,beta,8,26,27333,26,572,168134.0,21345.0,293.94055944055947
spark-history/application_1597310437327_0026,query20_cluster_500G,20,500,beta,8,26,28549,27,200,9522.0,1355.0,47.61
spark-history/application_1597310437327_0026,query20_cluster_500G,20,500,beta,8,26,28549,28,200,19736.0,10984.0,98.68
spark-history/application_1597310437327_0026,query20_cluster_500G,20,500,beta,8,26,28549,26,572,168773.0,23723.0,295.0576923076923
spark-history/application_1597310437327_0020,query20_cluster_500G,20,500,beta,8,26,28156,27,200,9903.0,867.0,49.515
spark-history/application_1597310437327_0020,query20_cluster_500G,20,500,beta,8,26,28156,28,200,18435.0,10177.0,92.175
spark-history/application_1597310437327_0020,query20_cluster_500G,20,500,beta,8,26,28156,26,572,166625.0,22594.0,291.3024475524476
spark-history/application_1597310437327_0008,query20_cluster_500G,20,500,beta,7,26,29618,27,200,8853.0,1093.0,44.265
spark-history/application_1597310437327_0008,query20_cluster_500G,20,500,beta,7,26,29618,28,200,16556.0,8354.0,82.78
spark-history/application_1597310437327_0008,query20_cluster_500G,20,500,beta,7,26,29618,26,572,159393.0,16973.0,278.65909090909093
spark-history/application_1597310437327_0030,query84_cluster_500G,84,500,alpha,8,28,25957,30,200,91603.0,9863.0,458.015
spark-history/application_1597310437327_0030,query84_cluster_500G,84,500,alpha,8,28,25957,28,9,14832.0,14548.0,1648.0
spark-history/application_1597310437327_0030,query84_cluster_500G,84,500,alpha,8,28,25957,29,65,67188.0,10666.0,1033.6615384615384
